plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,18,926,2013,6,21,1.5,0,,,,
PAN-02,18,928,2013,6,21,1.8,-0.68,,,,
PAN-02,18,928-2A,2013,6,21,1.6,0.96,,,,
PAN-02,18,929,2013,6,21,1.65,1.18,,,,
PAN-02,18,931,2013,6,21,1.55,0,,,,
PAN-02,18,931.A,2013,6,21,1.35,NA,,,,
PAN-02,19,932,2013,6,21,1.65,NA,,roto,,
PAN-02,19,933,2013,6,21,1.6,-1.11,,,,
PAN-02,19,934,2013,6,21,1.6,0,,,,
PAN-02,19,934.2.A,2013,6,21,1.6,NA,,,,
PAN-02,19,936,2013,6,21,1.45,0,,,,
PAN-02,19,937,2013,6,21,1.55,0.24,,,,
PAN-02,19,940-2A,2013,6,21,1.4,0.3,,,,
PAN-02,19,943,2013,6,21,1.6,0.73,,,,
PAN-02,19,944,2013,6,21,1.65,NA,,,,
PAN-02,19,945-2A,2013,6,21,1.5,1.3,,,,
PAN-02,19,950,2013,6,21,1.6,0,,,,
PAN-02,19,956,2013,6,21,1.8,0.52,,,,
PAN-02,20,953,2013,6,21,2.2,1.78,,,,
PAN-02,20,955,2013,6,21,1.6,0,,,,
PAN-02,20,961,2013,6,21,1.6,0,,,,
PAN-02,20,964,2013,6,21,1.6,1.81,,,,
PAN-02,20,965,2013,6,21,1.6,0.46,,,,
PAN-02,20,966,2013,6,21,1.6,NA,,,,
PAN-02,20,968,2013,6,21,1.5,0,,,,
PAN-02,20,969,2013,6,21,1.4,0,,,,
PAN-02,20,969-2A,2013,6,21,,,,,,
PAN-02,20,972,2013,6,21,1.6,-0.74,,,,
PAN-02,20,973,2013,6,21,1.7,0.62,,,,
PAN-02,20,975,2013,6,21,2.2,NA,,roto,,
PAN-02,20,976,2013,6,21,3.4,NA,,,,
PAN-02,21,978,2013,6,21,1.9,NA,,,,
PAN-02,21,979,2013,6,21,1.6,0,,,,
PAN-02,21,981,2013,6,21,1.6,0,,,,
PAN-02,21,984,2013,6,21,1.2,NA,,,,
PAN-02,21,985,2013,6,21,1.6,-1.4,,,,
PAN-02,21,986,2013,6,21,1.4,0,,,,
PAN-02,21,987,2013,6,21,1.6,0.92,,,,
PAN-02,21,988,2013,6,21,1.65,NA,,,,
PAN-02,21,989,2013,6,21,1.5,0.28,,,,
PAN-02,21,990,2013,6,21,1.45,NA,,,,
PAN-02,21,991,2013,6,21,1.6,0,,,,
PAN-02,21,992,2013,6,21,3.2,NA,,,,
PAN-02,21,993,2013,6,21,1.8,NA,,,,
PAN-02,21,995,2013,6,21,1.55,1.22,,,,
PAN-02,21,996,2013,6,21,1.35,0.92,,,,
