Plot,TypeMeas,Subplot,Meas,DD,MM,YY,Id,Subplot,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,15,30,10,14,36,490,0,0,0,0,0,32,67,0.39,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,16,30,10,14,36,492,0,0,0,0,0,35,72,0.4,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,17,30,10,14,37,492,0,0,0,0,0,37,76,0.39,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,18,30,10,14,37,495,0,0,0,0,0,39,81,0.39,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,19,30,10,14,37,497,0,0,0,0,0,42,86,0.39,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,20,30,10,14,37,503,0,0,0,0,0,45,91,0.4,0,0,854,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,21,30,10,14,37,504,0,0,0,0,0,47,96,0.4,0,0,856,8,
SPI,TOT,3,1,30,10,11,SPI_TOT_3_1_301011,3,1,5,22,30,10,14,37,508,0,0,0,0,0,50,100,0.4,0,0,854,8,a
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,1,30,10,14,38,439,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,2,30,10,14,38,444,0,0,0,0,0,0,4,0,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,3,30,10,14,38,447,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,4,30,10,14,38,448,0,0,0,0,0,9,14,0.54,0,0,856,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,5,30,10,14,38,451,0,0,0,0,0,11,19,0.49,0,0,856,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,6,30,10,14,38,455,0,0,0,0,0,15,24,0.51,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,7,30,10,14,38,458,0,0,0,0,0,18,28,0.51,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,8,30,10,14,38,461,0,0,0,0,0,21,33,0.51,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,9,30,10,14,39,463,0,0,0,0,0,23,38,0.5,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,10,30,10,14,39,465,0,0,0,0,0,26,43,0.49,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,11,30,10,14,39,468,0,0,0,0,0,28,48,0.48,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,12,30,10,14,39,471,0,0,0,0,0,31,52,0.48,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,13,30,10,14,39,472,0,0,0,0,0,33,57,0.47,0,0,856,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,14,30,10,14,39,477,0,0,0,0,0,36,62,0.47,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,15,30,10,14,39,478,0,0,0,0,0,38,67,0.46,0,0,856,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,16,30,10,14,39,481,0,0,0,0,0,41,72,0.46,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,17,30,10,14,39,484,0,0,0,0,0,43,76,0.46,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,18,30,10,14,39,487,0,0,0,0,0,46,81,0.46,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,19,30,10,14,39,490,0,0,0,0,0,49,86,0.46,0,0,854,8,
SPI,TOT,3,2,30,10,11,SPI_TOT_3_2_301011,3,2,6,20,30,10,14,39,493,0,0,0,0,0,52,91,0.46,0,0,854,8,a
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,2,30,10,14,44,435,0,0,0,0,0,0,0,0,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,3,30,10,14,45,437,0,0,0,0,0,0,4,0,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,4,30,10,14,45,439,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,5,30,10,14,45,440,0,0,0,0,0,4,14,0.26,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,6,30,10,14,45,441,0,0,0,0,0,5,19,0.22,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,7,30,10,14,45,442,0,0,0,0,0,6,24,0.21,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,8,30,10,14,45,444,0,0,0,0,0,7,28,0.21,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,9,30,10,14,45,445,0,0,0,0,0,8,33,0.21,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,10,30,10,14,45,446,0,0,0,0,0,10,38,0.21,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,11,30,10,14,45,446,0,0,0,0,0,10,43,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,12,30,10,14,45,447,0,0,0,0,0,11,48,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,13,30,10,14,45,448,0,0,0,0,0,12,52,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,14,30,10,14,45,450,0,0,0,0,0,13,57,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,15,30,10,14,46,451,0,0,0,0,0,14,62,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,16,30,10,14,46,453,0,0,0,0,0,16,67,0.19,0,0,854,8,
