"","plot_code","sub_plot","tree_tag","year","month","day","pom_height","dbh_first_year","dbh_first_year_cm","dendrometer_reading_mm","comments","forma_tronco","igual_DAP","apertura","X","X_1","X_2","X_3","X_4","density","height_m","dbh","cenyear","cenmonth","cenday"
"72","ESP-01",1,21,2012,5,2,NA,NA,10.3,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,11.5,10.1,2006,7,4
"73","ESP-01",1,26,2009,8,19,NA,NA,20,"0",NA,"e","diferente",NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"74","ESP-01",1,26,2009,11,25,NA,NA,20,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"75","ESP-01",1,26,2010,1,26,NA,NA,20,"-0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"76","ESP-01",1,26,2010,5,1,NA,NA,20,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"77","ESP-01",1,26,2010,7,21,NA,NA,20,"-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"78","ESP-01",1,26,2010,7,21,NA,NA,20,"-0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"79","ESP-01",1,26,2010,10,13,NA,NA,20,"-0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"80","ESP-01",1,26,2011,1,31,NA,NA,20,"-0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"81","ESP-01",1,26,2011,4,29,NA,NA,20,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"82","ESP-01",1,26,2011,7,11,NA,NA,20,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"83","ESP-01",1,26,2011,10,25,NA,NA,20,"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"84","ESP-01",1,26,2012,5,2,NA,NA,20,"-0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,13.5,20.2,2006,7,4
"85","ESP-01",1,27,2009,8,19,NA,NA,21.3,"0",NA,"e","igual","0.8",NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"86","ESP-01",1,27,2009,11,25,NA,NA,21.3,"2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"87","ESP-01",1,27,2010,1,26,NA,NA,21.3,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"88","ESP-01",1,27,2010,5,1,NA,NA,21.3,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"89","ESP-01",1,27,2010,7,21,NA,NA,21.3,"3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"90","ESP-01",1,27,2010,7,21,NA,NA,21.3,"3.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"91","ESP-01",1,27,2010,10,13,NA,NA,21.3,"3.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"92","ESP-01",1,27,2011,1,31,NA,NA,21.3,"4.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"93","ESP-01",1,27,2011,4,29,NA,NA,21.3,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"94","ESP-01",1,27,2011,7,11,NA,NA,21.3,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"95","ESP-01",1,27,2011,10,25,NA,NA,21.3,"5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"96","ESP-01",1,27,2012,5,2,NA,NA,21.3,"8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74977,12,20.7,2006,7,4
"97","ESP-01",1,28,2009,8,19,NA,NA,25.5,"0",NA,"o","diferente","0.7",NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"98","ESP-01",1,28,2009,11,25,NA,NA,25.5,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"99","ESP-01",1,28,2010,1,26,NA,NA,25.5,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"100","ESP-01",1,28,2010,5,1,NA,NA,25.5,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"101","ESP-01",1,28,2010,7,21,NA,NA,25.5,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"102","ESP-01",1,28,2010,7,21,NA,NA,25.5,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"103","ESP-01",1,28,2010,10,13,NA,NA,25.5,"4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"104","ESP-01",1,28,2011,1,31,NA,NA,25.5,"6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"105","ESP-01",1,28,2011,4,29,NA,NA,25.5,"8.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"106","ESP-01",1,28,2011,7,11,NA,NA,25.5,"8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"107","ESP-01",1,28,2011,10,25,NA,NA,25.5,"10.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"108","ESP-01",1,28,2012,5,2,NA,NA,25.5,"12.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14,25.4,2006,7,4
"109","ESP-01",2,38,2009,8,19,NA,NA,15.6,"0",NA,"e","igual",NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"110","ESP-01",2,38,2009,11,25,NA,NA,15.6,"3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"111","ESP-01",2,38,2010,1,26,NA,NA,15.6,"14.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"112","ESP-01",2,38,2010,5,1,NA,NA,15.6,"14.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"113","ESP-01",2,38,2010,7,21,NA,NA,15.6,"15.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"114","ESP-01",2,38,2010,7,21,NA,NA,15.6,"15.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"115","ESP-01",2,38,2010,10,13,NA,NA,15.6,"19.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"116","ESP-01",2,38,2011,1,31,NA,NA,15.6,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"117","ESP-01",2,38,2011,4,29,NA,NA,15.6,"27.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"118","ESP-01",2,38,2011,7,11,NA,NA,15.6,"28.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"119","ESP-01",2,38,2011,10,25,NA,NA,15.6,"33.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"120","ESP-01",2,38,2012,5,2,NA,NA,15.6,"371",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11,14.3,2006,7,4
"121","ESP-01",2,40,2009,8,19,NA,NA,36.7,"2.5",NA,"o","igual",NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"122","ESP-01",2,40,2009,11,25,NA,NA,36.7,"4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"123","ESP-01",2,40,2010,1,26,NA,NA,36.7,"6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"124","ESP-01",2,40,2010,5,1,NA,NA,36.7,"7.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"125","ESP-01",2,40,2010,7,21,NA,NA,36.7,"9.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"126","ESP-01",2,40,2010,7,21,NA,NA,36.7,"9.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"127","ESP-01",2,40,2010,10,13,NA,NA,36.7,"13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"128","ESP-01",2,40,2011,1,31,NA,NA,36.7,"16.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"129","ESP-01",2,40,2011,4,29,NA,NA,36.7,"17.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"130","ESP-01",2,40,2011,7,11,NA,NA,36.7,"21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"131","ESP-01",2,40,2011,10,25,NA,NA,36.7,"26.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
"132","ESP-01",2,40,2012,5,2,NA,NA,36.7,"31.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,17.5,35.8,2006,7,4
