"","X","code","flux_umolco2_m2_s","co2slope","plot_code","sub_plot","measurement_code","egm_measurement","day","month","year","hour","soil_temp_degC","vwc_percent","collar_depth_cm","TRU04","tree_num"
"99",99,"59.10.1.14",0.0448774747588315,0.0782498948254098,"TU4",9,"STEM",59,10,1,14,23,12.3,NA,7,333,333
"100",100,"59.18.11.13",0.118786861952442,0.188052166596548,"TU4",9,"STEM",59,18,11,13,23,12.5,NA,7,333,333
"101",101,"6.14.3.14",0.0739762867120325,0.103386621792172,"TU4",6,"STEM",6,14,3,14,10,14.3,NA,7,211,211
"102",102,"6.22.7.13",0.0451433051914007,0.0629995793016403,"TU4",6,"STEM",6,22,7,13,22,11,NA,7,211,211
"103",103,"6.23.9.13",0.0742050599375752,0.0136726966764845,"TU4",6,"STEM",6,23,9,13,16,13.8,NA,7,211,211
"104",104,"6.27.5.13",0.0150828028972063,0.0259781236853195,"TU4",6,"STEM",6,27,5,13,9,11.1,NA,7,211,211
"105",105,"60.10.1.14",0.0447208070166118,0.0617374842238137,"TU4",10,"STEM",60,10,1,14,23,13.3,NA,7,355,355
"106",106,"60.18.11.13",0.0445450732321657,0.0632099284812803,"TU4",10,"STEM",60,18,11,13,23,12.5,NA,7,355,355
"107",107,"61.11.1.14",0.14897327708507,0.224652923853595,"TU4",11,"STEM",61,11,1,14,0,13.1,NA,7,372,372
"108",108,"61.19.11.13",0.118786861952442,0.190681531342025,"TU4",11,"STEM",61,19,11,13,0,12.5,NA,7,372,372
"109",109,"62.11.1.14",0.148921252193474,0.21939419436264,"TU4",12,"STEM",62,11,1,14,0,13.2,NA,7,417,417
"110",110,"63.11.1.14",0.133982337263191,0.208245687841817,"TU4",13,"STEM",63,11,1,14,0,13.3,NA,7,432,432
"111",111,"63.18.11.13",0.0594528791787515,0.0830879259570894,"TU4",13,"STEM",63,18,11,13,23,12.6,NA,7,432,432
"112",112,"64.11.1.14",0.134075949376563,0.214661337820783,"TU4",14,"STEM",64,11,1,14,0,13.1,NA,7,456,456
"113",113,"64.19.11.13",0.118745291747034,0.181636516617586,"TU4",14,"STEM",64,19,11,13,1,12.6,NA,7,456,456
"114",114,"65.11.1.14",0.134075949376563,0.208245687841817,"TU4",15,"STEM",65,11,1,14,1,13.1,NA,7,503,503
"115",115,"65.19.11.13",0.133909565622661,0.214661337820785,"TU4",15,"STEM",65,19,11,13,1,12.3,NA,7,503,503
"116",116,"66.11.1.14",0.14897327708507,0.234854859066052,"TU4",16,"STEM",66,11,1,14,1,13.1,NA,7,519,519
"117",117,"66.19.11.13",0.0595153624989604,0.0885570046276843,"TU4",16,"STEM",66,19,11,13,1,12.3,NA,7,519,519
"118",118,"67.11.1.14",0.134075949376563,0.192785023138412,"TU4",17,"STEM",67,11,1,14,1,13.1,NA,7,544,544
"119",119,"67.19.11.13",0.0742677882960843,0.119688683214135,"TU4",17,"STEM",67,19,11,13,1,12.4,NA,7,544,544
"120",120,"68.11.1.14",0.14897327708507,0.229490954985275,"TU4",18,"STEM",68,11,1,14,1,13.1,NA,7,570,570
"121",121,"68.19.11.13",0.0297175224353783,0.033024821203199,"TU4",18,"STEM",68,19,11,13,1,12.3,NA,7,570,570
"122",122,"69.11.1.14",0.134075949376563,0.217290702566258,"TU4",19,"STEM",69,11,1,14,1,13.1,NA,7,605,605
"123",123,"69.19.11.13",0.0297071153184337,0.0431215818258312,"TU4",19,"STEM",69,19,11,13,2,12.4,NA,7,605,605
"124",124,"7.14.3.14",0.0737965768362789,0.119899032393772,"TU4",7,"STEM",7,14,3,14,10,15,NA,7,253,253
"125",125,"7.22.7.13",0.0449692205789185,0.0716238956668019,"TU4",7,"STEM",7,22,7,13,22,12.1,NA,7,253,253
"126",126,"7.23.9.13",0.370525938584662,0.473496003365592,"TU4",7,"STEM",7,23,9,13,15,13.8,NA,7,253,253
"127",127,"7.27.5.13",0.105223286097094,0.175641564997896,"TU4",7,"STEM",7,27,5,13,9,11.3,NA,7,253,253
"128",128,"70.11.1.14",0.148921252193474,0.228544383676904,"TU4",20,"STEM",70,11,1,14,1,13.2,NA,7,640,640
"129",129,"70.19.11.13",0.222424385936287,0.353491796381993,"TU4",20,"STEM",70,19,11,13,2,12.5,NA,7,640,640
"130",130,"71.11.1.14",0.14897327708507,0.219394194362642,"TU4",21,"STEM",71,11,1,14,1,13.1,NA,7,663,663
"131",131,"71.19.11.13",0.267002735112031,0.416491375683633,"TU4",21,"STEM",71,19,11,13,2,12.4,NA,7,663,663
"132",132,"72.11.1.14",0.121461276720166,0.20466975178797,"TU4",22,"STEM",72,11,1,14,14,13.1,NA,7,727,727
"133",133,"72.19.11.13",0.0742677882960843,0.10727808161548,"TU4",22,"STEM",72,19,11,13,3,12.4,NA,7,727,727
"134",134,"73.11.1.14",-0.0270102666287149,-0.0268195204038729,"TU4",23,"STEM",73,11,1,14,15,12.9,NA,7,788,788
"135",135,"73.19.11.13",0.0445450732321657,0.0541649137568348,"TU4",23,"STEM",73,19,11,13,3,12.5,NA,7,788,788
"136",136,"74.11.1.14",0.0270480895121438,0.0455405973916708,"TU4",24,"STEM",74,11,1,14,15,12.5,NA,7,811,811
"137",137,"74.19.11.13",0.0297175224353783,0.050694152292806,"TU4",24,"STEM",74,19,11,13,3,12.3,NA,7,811,811
"138",138,"75.11.1.14",0.0270102666287149,0.0314472023559082,"TU4",25,"STEM",75,11,1,14,15,12.9,NA,7,851,851
"139",139,"75.19.11.13",0.103974903614518,0.151346234749685,"TU4",25,"STEM",75,19,11,13,3,12.4,NA,7,851,851
"140",140,"8.14.3.14",0.368485602666325,0.576073098172548,"TU4",8,"STEM",8,14,3,14,11,15,NA,7,305,305
"141",141,"8.22.7.13",0.0899440068099593,0.146508203618005,"TU4",8,"STEM",8,22,7,13,22,11.7,NA,7,305,305
"142",142,"8.23.9.13",-0.0444031892977738,0.00536390408077872,"TU4",8,"STEM",8,23,9,13,15,13.8,NA,7,305,305
"143",143,"8.27.5.13",0.119666213469876,0.16659655027345,"TU4",8,"STEM",8,27,5,13,9,12.7,NA,7,305,305
"144",144,"9.14.3.14",0.132383910200466,0.225809844341606,"TU4",9,"STEM",9,14,3,14,11,15.2,NA,7,333,333
"145",145,"9.22.7.13",0.104793822699389,0.161548169962135,"TU4",9,"STEM",9,22,7,13,22,11.7,NA,7,333,333
"146",146,"9.23.9.13",0.279370386256913,0.357488430795125,"TU4",9,"STEM",9,23,9,13,14,15.7,NA,7,333,333
"147",147,"9.27.5.13",0.104707936786141,0.156394615061,"TU4",9,"STEM",9,27,5,13,9,12.7,NA,7,333,333
