"","Tag.No","Old.No","T1","T2","X","Y","Family","genus","species","Old.Tree.Notes","D..2013.1","POM..2013.1","F1..2013.1","F2..2013.1","Height..2013.1","F5..2013.1","F3..2013.1","F4..2013.1","LI..2013.1","CI..2013.1","Census.Notes..2013.1","D..2014.2","POM..2014.2","F1","F2","Height..2014.2","F5","F3","F4","LI..2014.2","CI..2014.2","Tree.ID","D..2015.1","POM..2015.1","F1.1","F2.1","Height..2015.1","F5.1","F3.1","F4.1","LI..2015.1","CI..2015.1","Census.Notes","Tree.ID.1","New.Tag.No","wdensity","height","density","tag","plot","DBH.1","DBH.2","DBH.3","dbh_growth_yr","recruits","srink","missing","overgrown","value_replaced"
"43",43,NA,2,NA,NA,NA,"Clethraceae","Clethra","indet",NA,183,1300,"a",1,10,4,0,0,0,1,NA,185,1300,"a","1",NA,NA,0,0,NA,NA,1105425,187,1300,"a","1",10000,NA,0,0,0,"3b",NA,1105425,NA,0.540014577613546,10,0.540014577613546,"43","ACJ-01",18.3,18.5,18.7,0.175059952038369,"ok","ok","ok","ok",NA
"44",44,NA,2,NA,NA,NA,"Clethraceae","Clethra","indet",NA,273,1300,"a",1,6,4,0,0,0,1,NA,277,1300,"a","1",NA,NA,0,0,NA,NA,1105426,273,1300,"a","1",6000,NA,0,0,0,"2c",NA,1105426,NA,0.540014577613546,6,0.540014577613546,"44","ACJ-01",27.3,27.7,27.3,0.350119904076737,"ok","ok","ok","ok",NA
"45",45,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,151,1300,"a",1,8,4,0,0,0,1,NA,149,1300,"a","1",NA,NA,0,0,NA,NA,1105427,152,1300,"a","1",10000,NA,0,0,0,"4",NA,1105427,NA,0.639235706846016,9,0.639235706846016,"45","ACJ-01",15.1,14.9,15.2,-0.175059952038369,"ok","ok","ok","ok",NA
"46",46,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,319,1300,"a",1,10,4,0,0,0,1,NA,321,1300,"c","1",NA,NA,0,0,NA,NA,1105428,323,1300,"cf","1",10000,NA,0,0,0,"4",NA,1105428,NA,0.540014577613546,10,0.540014577613546,"46","ACJ-01",31.9,32.1,32.3,0.175059952038372,"ok","ok","ok","ok",NA
"47",47,NA,2,NA,NA,NA,"Clethraceae","Clethra","indet",NA,165,1300,"a",1,8,4,0,0,0,1,NA,170,1300,"a","1",NA,NA,0,0,NA,NA,1105429,173,1300,"a","1",9000,NA,0,0,0,"2b",NA,1105429,NA,0.540014577613546,8.5,0.540014577613546,"47","ACJ-01",16.5,17,17.3,0.437649880095923,"ok","ok","ok","ok",NA
"48",48,NA,2,NA,NA,NA,"Clethraceae","Clethra","indet",NA,119,1300,"a",1,8,4,0,0,0,1,NA,121,1300,"a","1",NA,NA,0,0,NA,NA,1105430,123,1300,"a","1",8000,NA,0,0,0,"3a",NA,1105430,NA,0.540014577613546,8,0.540014577613546,"48","ACJ-01",11.9,12.1,12.3,0.175059952038369,"ok","ok","ok","ok",NA
"49",49,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,220,1300,"a",1,8.5,4,0,0,0,1,NA,219,1300,"a","1",NA,NA,0,0,NA,NA,1105431,234,1300,"a","1",10000,NA,0,0,0,"3b",NA,1105431,NA,0.639235706846016,9.25,0.639235706846016,"49","ACJ-01",22,21.9,23.4,-0.0875299760191859,"ok","ok","ok","ok",NA
"50",50,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,238,1300,"a",1,6,4,0,0,0,1,NA,243,1300,"ah","1",NA,NA,0,0,NA,NA,1105432,243,1300,"c","1",8000,NA,0,0,0,"3b",NA,1105432,NA,0.540014577613546,7,0.540014577613546,"50","ACJ-01",23.8,24.3,24.3,0.437649880095923,"ok","ok","ok","ok",NA
"51",51,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,107,1300,"a",1,6,4,0,0,0,1,NA,109,1300,"a","1",NA,NA,0,0,NA,NA,1105433,109,1300,"a","1",7000,NA,0,0,1,"3a",NA,1105433,NA,0.639235706846016,6.5,0.639235706846016,"51","ACJ-01",10.7,10.9,10.9,0.17505995203837,"ok","ok","ok","ok",NA
"52",52,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,212,1300,"a",1,6.5,4,0,0,0,1,NA,214,1300,"a","1",NA,NA,0,0,NA,NA,1105434,215,1300,"a","1",9000,NA,0,0,0,"4",NA,1105434,NA,0.540014577613546,7.75,0.540014577613546,"52","ACJ-01",21.2,21.4,21.5,0.175059952038369,"ok","ok","ok","ok",NA
