Plot	Date.value	DataType	Core	Combined.code	Combined.code.2	Search.time.cum	CoarseRoot.cum	FineRoot.cum	TotRoot.cum	Search.Int	DaysBetween
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	20	11.11	4.49	15.6	2	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	30	12.42	5.84	18.26	3	1
Belian	40775	Stock	7	40775.Belian.07	Belian.40775.7	40	12.65	6.13	18.78	4	1
Belian	40775	Stock	8	40775.Belian.08	Belian.40775.8	10	12.04	2.05	14.09	1	1
Belian	40775	Stock	8	40775.Belian.08	Belian.40775.8	20	14.03	3.22	17.25	2	1
Belian	40775	Stock	8	40775.Belian.08	Belian.40775.8	30	14.33	3.55	17.88	3	1
Belian	40775	Stock	8	40775.Belian.08	Belian.40775.8	40	14.33	3.62	17.95	4	1
Belian	40775	Stock	9	40775.Belian.09	Belian.40775.9	10	9.29	1.18	10.47	1	1
Belian	40775	Stock	9	40775.Belian.09	Belian.40775.9	20	10.53	2.03	12.56	2	1
Belian	40775	Stock	9	40775.Belian.09	Belian.40775.9	30	11.6	2.67	14.27	3	1
Belian	40775	Stock	9	40775.Belian.09	Belian.40775.9	40	11.93	3.05	14.98	4	1
Belian	40775	Stock	10	40775.Belian.10	Belian.40775.10	10	15.37	4.08	19.45	1	1
Belian	40775	Stock	10	40775.Belian.10	Belian.40775.10	20	16.34	5.56	21.9	2	1
Belian	40775	Stock	10	40775.Belian.10	Belian.40775.10	30	17.07	6.32	23.39	3	1
Belian	40775	Stock	10	40775.Belian.10	Belian.40775.10	40	17.42	6.47	23.89	4	1
Belian	40775	Stock	11	40775.Belian.11	Belian.40775.11	10	3.34	0.92	4.26	1	1
Belian	40775	Stock	11	40775.Belian.11	Belian.40775.11	20	3.55	1.18	4.73	2	1
Belian	40775	Stock	11	40775.Belian.11	Belian.40775.11	30	3.67	1.25	4.92	3	1
Belian	40775	Stock	11	40775.Belian.11	Belian.40775.11	40	4.03	1.31	5.34	4	1
Belian	40775	Stock	12	40775.Belian.12	Belian.40775.12	10	7.16	1.42	8.58	1	1
Belian	40775	Stock	12	40775.Belian.12	Belian.40775.12	20	8.11	2.21	10.32	2	1
Belian	40775	Stock	12	40775.Belian.12	Belian.40775.12	30	9.1	2.87	11.97	3	1
Belian	40775	Stock	12	40775.Belian.12	Belian.40775.12	40	9.47	3.37	12.84	4	1
Belian	40775	Stock	13	40775.Belian.13	Belian.40775.13	10	11.32	3.65	14.97	1	1
Belian	40775	Stock	13	40775.Belian.13	Belian.40775.13	20	11.81	4.68	16.49	2	1
Belian	40775	Stock	13	40775.Belian.13	Belian.40775.13	30	12.08	5.24	17.32	3	1
Belian	40775	Stock	13	40775.Belian.13	Belian.40775.13	40	12.17	5.51	17.68	4	1
Belian	40775	Stock	14	40775.Belian.14	Belian.40775.14	10	8.78	3.49	12.27	1	1
Belian	40775	Stock	14	40775.Belian.14	Belian.40775.14	20	9.49	4.54	14.03	2	1
Belian	40775	Stock	14	40775.Belian.14	Belian.40775.14	30	9.62	5.1	14.72	3	1
