Plot,TypeMeas,Tipo,Subplot,Meas,DD,MM,YY,Id,Subplot,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,18,30,10,8,49,427,0,0,0,0,0,13,81,0.13,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,19,30,10,8,49,427,0,0,0,0,0,14,86,0.13,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,20,30,10,8,49,428,0,0,0,0,0,14,91,0.13,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,21,30,10,8,49,428,0,0,0,0,0,15,96,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,22,30,10,8,49,429,0,0,0,0,0,15,100,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,23,30,10,8,49,430,0,0,0,0,0,16,105,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,24,30,10,8,49,431,0,0,0,0,0,17,110,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,25,30,10,8,49,431,0,0,0,0,0,18,115,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,26,30,10,8,50,432,0,0,0,0,0,18,120,0.12,0,0,856,8,
SPI,COMP,MSH,1,1,30,10,11,SPI_COMP_MSH_1_1_301011,1,5,1,5,27,30,10,8,50,433,0,0,0,0,0,19,124,0.12,0,0,856,8,a
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,1,30,10,8,51,428,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,2,30,10,8,51,431,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,3,30,10,8,51,433,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,4,30,10,8,51,435,0,0,0,0,0,7,14,0.4,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,5,30,10,8,51,437,0,0,0,0,0,9,19,0.4,0,0,856,8,
