Plot,TypeMeas,Tipo,Subplot,Tubo,Meas,DD,MM,YY,Id,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,16,30,10,10,40,422,0,0,0,0,0,7,72,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,17,30,10,10,40,423,0,0,0,0,0,8,76,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,18,30,10,10,40,423,0,0,0,0,0,8,81,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,19,30,10,10,40,424,0,0,0,0,0,9,86,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,20,30,10,10,40,424,0,0,0,0,0,9,91,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,21,30,10,10,40,425,0,0,0,0,0,10,96,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,22,30,10,10,40,425,0,0,0,0,0,10,100,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,23,30,10,10,40,426,0,0,0,0,0,10,105,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,24,30,10,10,40,426,0,0,0,0,0,11,110,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,25,30,10,10,40,427,0,0,0,0,0,11,115,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,26,30,10,10,40,427,0,0,0,0,0,12,120,0.08,0,0,856,8,
SPI,CTRL,SD,13,3,1,30,10,11,SPI_CTRL_SD_13_3_1_301011,3,1,23,27,30,10,10,40,428,0,0,0,0,0,12,124,0.08,0,0,856,8,a
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,1,30,10,10,42,410,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,2,30,10,10,42,413,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,3,30,10,10,42,414,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,4,30,10,10,42,414,0,0,0,0,0,3,14,0.22,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,5,30,10,10,43,414,0,0,0,0,0,3,19,0.16,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,6,30,10,10,43,416,0,0,0,0,0,4,24,0.15,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,7,30,10,10,43,416,0,0,0,0,0,4,28,0.13,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,8,30,10,10,43,416,0,0,0,0,0,5,33,0.12,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,9,30,10,10,43,416,0,0,0,0,0,4,38,0.1,0,0,857,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,10,30,10,10,43,418,0,0,0,0,0,5,43,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,11,30,10,10,43,418,0,0,0,0,0,6,48,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,12,30,10,10,43,419,0,0,0,0,0,6,52,0.1,0,0,856,8,
